"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_vianant","Descripcio_tipus_vehicle","Descripcio_model","Descripcio_marca","Descripcio_color","Descripcio_carnet","Antiguitat_carnet","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud_WGS84","Latitud_WGS84"
"2023S005900    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0104 0104","Divendres","2023",10,"Octubre","6","00","Nit","No és causa del  vianant","Turisme","TOYOTA PRIUS PLUS","TOYOTA","Negre/Groc","B","14","429914.38 ","4583230.13","2.160498625","41.395706928"
"2023S006824    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0107 0107","Divendres","2023",11,"Novembre","17","11","Matí","No és causa del  vianant","Motocicleta","CBR650FA","HONDA","Gris","A2","1","429833.1  ","4583274.6 ","2.159521283","41.396100363"
"2023S006824    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0107 0107","Divendres","2023",11,"Novembre","17","11","Matí","No és causa del  vianant","Turisme","KA","FORD","Blau","B","41","429833.1  ","4583274.6 ","2.159521283","41.396100363"
"2023S000415    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0108 0108","Dissabte","2023",1,"Gener","21","12","Matí","No és causa del  vianant","Autobús articulat","HYBRID H18","SOLARIS","Vermell","D1","16","429906.02 ","4583287.07","2.160392036","41.396219039"
"2023S005834    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0110 0110","Dimarts","2023",10,"Octubre","3","18","Tarda","No és causa del  vianant","Autobús","0 530","MERCEDES-BENZ","Vermell","D","10","429906.02 ","4583287.07","2.160392036","41.396219039"
"2023S005834    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0110 0110","Dimarts","2023",10,"Octubre","3","18","Tarda","No és causa del  vianant","Motocicleta","Desconegut","Desconegut","Desconegut","Desconegut","Desconegut","429906.02 ","4583287.07","2.160392036","41.396219039"
"2023S002980    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0110 0110","Divendres","2023",5,"Maig","19","15","Tarda","No és causa del  vianant","Motocicleta","NSS750","HONDA","Negre","A","33","429892.18 ","4583306.91","2.160224197","41.396396524"
"2023S002980    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0110 0110","Divendres","2023",5,"Maig","19","15","Tarda","No és causa del  vianant","Tot terreny","JAGUAR E-PACE","JAGUAR","Negre","B","36","429892.18 ","4583306.91","2.160224197","41.396396524"
"2023S003660    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0587 0589","Dilluns","2023",6,"Juny","19","12","Matí","Creuar per fora pas de vianants","Veh. mobilitat personal amb motor","Desconegut","ES DESCONEIX","Desconegut","Desconegut","Desconegut","430335.3  ","4582343.66","2.165635253","41.38775937"
"2023S006326    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0587 0589","Dimecres","2023",10,"Octubre","25","23","Nit","Desobeir el senyal del semàfor","Motocicleta","1199 PANIGALE ABS","DUCATI","Vermell","A","2","430311.08 ","4582286.33","2.165352193","41.387240918"
